appid,name_x,playtime_forever,img_icon_url,has_community_visible_stats,content_descriptorids,has_leaderboards,playtime_2weeks,participant_id,playtime_hours,achievement_ratio,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,name_y,type,genres,categories,release_date,developer,publisher,name,hltb_main_story,hltb_main_extra,hltb_completionist
2208920,Assassin's Creed Valhalla,3163,3946f91cf6beb0d384a85fc32d71616313dc362e,True,"[1, 2, 5]",,20.0,User4,52.7,0.13043478260869565,3163.0,0.0,0.0,0.0,1750538858.0,9.0,,,[''],[''],,,,,,,
851850,DRAGON BALL Z: KAKAROT,3880,982ea5a5c1dfbc03258671212a5d4335cc34d908,True,,,,User4,64.7,1.0,3880.0,0.0,0.0,0.0,1728751578.0,0.0,,,[''],[''],,,,,,,
2343650,Waven,0,691459129f6f56b3babe47978be0c1927b4f3e7c,,,,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Waven,game,"['Adventure', 'RPG', 'Strategy', 'Free To Play', 'Early Access']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']","16 Aug, 2023",Ankama Studio,"Ankama Games, New Tales",Waven,99.42,150.0,310.9
2379780,Balatro,7685,b6018068070ab0e23561694c11f7950dd6f4c752,True,,,1.0,User4,128.1,0.6129032258064516,7685.0,0.0,0.0,0.0,1750537623.0,68.0,,,[''],[''],,,,,,,
2429640,THRONE AND LIBERTY,491,2f68e286764ecc7774825d4f122d557259e0089d,True,"[2, 5]",,,User4,8.2,0.14583333333333334,491.0,0.0,0.0,0.0,1728075909.0,0.0,THRONE AND LIBERTY,game,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Free To Play']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound']","1 Oct, 2024",NCSOFT,Amazon Games,THRONE AND LIBERTY,,,
2465830,Robin Hood - Sherwood Builders - Bandit's Trail,0,e94c6834eb5a2e0cb131ca2138c629975c72aa70,True,"[2, 5]",,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[''],[''],,,,,,,
1086940,Baldur's Gate 3,24689,d866cae7ea1e471fdbc206287111f1b642373bd9,True,"[1, 2, 5]",,30.0,User4,411.5,1.0,24689.0,0.0,0.0,0.0,1749892334.0,24.0,Baldur's Gate 3,game,"['Adventure', 'RPG', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","3 Aug, 2023",Larian Studios,Larian Studios,Baldur's Gate 3,71.97,114.17,174.71
1537830,Disney Speedstorm,277,81737059aa22bae2b1c8fc774f7534a9ba7b5d24,True,,,,User4,4.6,0.0,277.0,0.0,0.0,0.0,1745756700.0,0.0,Disney Speedstorm,game,"['Action', 'Adventure', 'Casual', 'Racing', 'Simulation', 'Sports', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Stats']","18 Apr, 2023",Gameloft,Gameloft,Disney Speedstorm,6.85,42.29,54.12
2668050,Quickie: Fantasy Adventure,43,08ba888b77e2c05cd0cff48e002868b7e43e0710,True,"[1, 3, 4, 5]",,,User4,0.7,1.0,43.0,0.0,0.0,0.0,1726920653.0,0.0,,,[''],[''],,,,,,,
2808930,Lust Goddess,8726,0821d25fc5193e00e21bef4ecf603d922adfd10c,True,"[1, 3, 4, 5]",,,User4,145.4,0.4791666666666667,8726.0,0.0,0.0,0.0,1735587192.0,0.0,,,[''],[''],,,,,,,
